prompt_id,prompt_name,category,competitor,image_model,video_model,model_policy,run_date,status,project_id,output_url_or_path,manifest_path,settings_used,latency_minutes,estimated_cost_or_credits,usable_first_try,prompt_adherence_1_5,story_coherence_1_5,visual_quality_1_5,motion_quality_1_5,narration_audio_1_5,finishedness_1_5,editability_1_5,weighted_score_100,major_failures,notes,prompt
vg-bench-001,AI camera launch short,product_launch,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:42:44.094819+00:00,succeeded,06ec9c3fd0f74e21903096d4296fb013,/media/06ec9c3fd0f74e21903096d4296fb013/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/06ec9c3fd0f74e21903096d4296fb013/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",3.51,$0.078711,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-001,AI camera launch short,product_launch,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 16, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create a 16-second vertical launch video for a pocket-sized AI camera that helps cyclists record close calls and scenic rides. Use exactly 4 scenes. Make it cinematic, practical, and not hypey. Show the camera mounted on a handlebar, a tense traffic moment, a beautiful golden-hour ride, and the app automatically summarizing the ride afterward."
vg-bench-002,B2B workflow explainer,saas_explainer,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:45:29.354256+00:00,succeeded,c018832897654a829569646038fffc59,/media/c018832897654a829569646038fffc59/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/c018832897654a829569646038fffc59/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 3, ""video_model"": ""ltx-2""}",2.75,$0.070800,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-002,B2B workflow explainer,saas_explainer,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-002,B2B workflow explainer,saas_explainer,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
